generation,total_predators,total_energy,avg_speed,avg_size,avg_reproduction_threshold,total_speed,total_size,total_reproduction_threshold,avg_energy
314,18,241.79347,1.853383,1.0363994,0,33.360893,18.655188,0,13.432971
315,19,250.46513,1.8594017,1.0384581,0,35.328632,19.730703,0,13.182376
316,19,258.50024,1.859402,1.0384582,0,35.328636,19.730705,0,13.605276
317,19,263.00308,1.859402,1.0384582,0,35.328636,19.730705,0,13.842267
318,21,268.8952,1.865421,1.0376927,0,39.173843,21.791546,0,12.804533
319,21,273.42703,1.8654209,1.0376927,0,39.17384,21.791546,0,13.020335
320,22,276.5429,1.8656437,1.0370171,0,41.044163,22.814377,0,12.570132
321,22,281.05975,1.865644,1.0370172,0,41.044167,22.814379,0,12.775443
322,22,291.92938,1.865644,1.0370172,0,41.044167,22.814379,0,13.269517
323,23,298.29453,1.8679419,1.0394527,0,42.96266,23.907412,0,12.969327
324,23,305.22668,1.8679421,1.0394527,0,42.96267,23.907412,0,13.270725
325,23,311.41663,1.8679421,1.0394527,0,42.96267,23.907412,0,13.539853
326,24,315.60388,1.8704087,1.0356985,0,44.88981,24.856764,0,13.150162
327,25,337.9099,1.878296,1.036059,0,46.9574,25.901476,0,13.5163965
328,28,343.8938,1.8925372,1.0380653,0,52.991043,29.065828,0,12.281921
329,29,352.99844,1.8969221,1.0377725,0,55.010742,30.095404,0,12.17236
330,29,366.2953,1.8969222,1.0377725,0,55.010746,30.095404,0,12.630872
331,31,367.0126,1.9122114,1.0359908,0,59.278553,32.115715,0,11.839116
332,31,390.06604,1.9122113,1.0359908,0,59.27855,32.115715,0,12.582775
333,31,398.9337,1.9122113,1.0359908,0,59.27855,32.115715,0,12.868829
334,32,419.4207,1.9229848,1.0365305,0,61.535515,33.168976,0,13.106896
335,32,441.42578,1.9229851,1.0365303,0,61.535522,33.16897,0,13.794556
336,34,450.33765,1.9274737,1.0346484,0,65.5341,35.178047,0,13.245225
337,35,455.29547,1.9313638,1.0340245,0,67.59773,36.190857,0,13.008442
338,35,453.26602,1.931364,1.0340244,0,67.59774,36.190853,0,12.950458
339,35,464.4551,1.931364,1.0340244,0,67.59774,36.190853,0,13.270146
340,35,475.33353,1.931364,1.0340244,0,67.59774,36.190853,0,13.580958
341,36,487.42673,1.9497961,1.034761,0,70.19266,37.251392,0,13.539631
342,37,494.54416,1.9441574,1.0342475,0,71.93382,38.26716,0,13.366058
343,37,494.0845,1.9441576,1.0342474,0,71.93383,38.267155,0,13.353635
344,37,493.71985,1.9441576,1.0342474,0,71.93383,38.267155,0,13.34378
345,37,499.07254,1.9441576,1.0342474,0,71.93383,38.267155,0,13.488447
346,37,508.9982,1.9441576,1.0342474,0,71.93383,38.267155,0,13.756708
347,38,512.9196,1.9525795,1.0332711,0,74.19802,39.2643,0,13.497885
348,40,522.0502,1.9775941,1.0345596,0,79.10377,41.382385,0,13.051254
349,40,522.81555,1.9775941,1.0345596,0,79.10377,41.382385,0,13.070389
350,41,531.41376,1.9831977,1.0356218,0,81.311104,42.46049,0,12.961311
351,42,550.177,1.9881577,1.0341727,0,83.502625,43.43525,0,13.099452
352,45,558.42523,1.9963142,1.0359328,0,89.83414,46.616978,0,12.40945
353,45,560.85925,1.9963142,1.0359328,0,89.83414,46.616974,0,12.463539
354,47,574.8853,1.9965422,1.0332252,0,93.83749,48.561584,0,12.231603
355,51,575.64154,2.0009496,1.0332432,0,102.04843,52.695404,0,11.287089
356,51,613.5994,2.0009494,1.0332432,0,102.04842,52.6954,0,12.031362
357,55,640.2541,2.0214493,1.0307182,0,111.17971,56.6895,0,11.640984
358,57,669.80237,2.0191472,1.0300703,0,115.091385,58.71401,0,11.750918
359,59,686.8541,2.0279,1.0331242,0,119.646095,60.954327,0,11.641595
360,59,724.39374,2.0279,1.0331242,0,119.646095,60.954327,0,12.27786
361,61,751.55884,2.0343063,1.03189,0,124.09268,62.94529,0,12.320637
362,63,781.1432,2.0379372,1.0308145,0,128.39005,64.941315,0,12.399098
363,66,795.7102,2.0547905,1.0327343,0,135.61618,68.16046,0,12.056215
364,66,829.1495,2.0547903,1.0327343,0,135.61615,68.16046,0,12.562871
